key,value
exported_at,2026-05-16T15:45:39.873Z
energy_setting,197.000000
classical_mode,ballistic
gamma_internal,4.000000
gamma_displayed,3.000000
instrument_sigma,3.000000
energy_units,hbar^2 / (2 m L^2)
position_units,L (box length)
n_position_bins,80.000000
n_energy_bins,100.000000
energy_axis_max,400.000000
n_eigenstates_included,6.000000
classical_measurements,20350.000000
classical_mean_x,0.500080
classical_mean_E,196.996955
quantum_position_measurements,20350.000000
quantum_energy_measurements,20350.000000
quantum_mean_x,0.499779
quantum_mean_E,181.825322

eigenstate_n,energy_E_n
1,9.869604
2,39.478418
3,88.826440
4,157.913670
5,246.740110
6,355.305758

type,panel,bin_index,bin_center,density
position,classical,0,0.006250,1.560688
position,quantum,0,0.006250,0.011794
position,classical,1,0.018750,0.707617
position,quantum,1,0.018750,0.086486
position,classical,2,0.031250,0.963145
position,quantum,2,0.031250,0.338084
position,classical,3,0.043750,1.265848
position,quantum,3,0.043750,0.456020
position,classical,4,0.056250,0.652580
position,quantum,4,0.056250,1.151843
position,classical,5,0.068750,1.230467
position,quantum,5,0.068750,1.002457
position,classical,6,0.081250,0.959214
position,quantum,6,0.081250,1.902703
position,classical,7,0.093750,0.896314
position,quantum,7,0.093750,1.356265
position,classical,8,0.106250,1.179361
position,quantum,8,0.106250,2.213268
position,classical,9,0.118750,0.778378
position,quantum,9,0.118750,1.344472
position,classical,10,0.131250,1.147912
position,quantum,10,0.131250,2.146437
position,classical,11,0.143750,0.959214
position,quantum,11,0.143750,1.230467
position,classical,12,0.156250,0.900246
position,quantum,12,0.156250,1.525307
position,classical,13,0.168750,1.100737
position,quantum,13,0.168750,0.872727
position,classical,14,0.181250,0.864865
position,quantum,14,0.181250,1.033907
position,classical,15,0.193750,1.041769
position,quantum,15,0.193750,0.522850
position,classical,16,0.206250,1.057494
position,quantum,16,0.206250,0.632924
position,classical,17,0.218750,0.876658
position,quantum,17,0.218750,0.345946
position,classical,18,0.231250,1.081081
position,quantum,18,0.231250,0.573956
position,classical,19,0.243750,0.959214
position,quantum,19,0.243750,0.357740
position,classical,20,0.256250,0.963145
position,quantum,20,0.256250,0.684029
position,classical,21,0.268750,1.033907
position,quantum,21,0.268750,0.680098
position,classical,22,0.281250,0.963145
position,quantum,22,0.281250,1.085012
position,classical,23,0.293750,1.002457
position,quantum,23,0.293750,0.821622
