key,value
exported_at,2026-05-16T15:38:22.410Z
energy_setting,355.000000
classical_mode,brownian
gamma_internal,21.000000
gamma_displayed,20.000000
instrument_sigma,5.000000
energy_units,hbar^2 / (2 m L^2)
position_units,L (box length)
n_position_bins,80.000000
n_energy_bins,100.000000
energy_axis_max,400.000000
n_eigenstates_included,6.000000
classical_measurements,40000.000000
classical_mean_x,0.501172
classical_mean_E,355.021615
quantum_position_measurements,40000.000000
quantum_energy_measurements,40000.000000
quantum_mean_x,0.498819
quantum_mean_E,352.816103

eigenstate_n,energy_E_n
1,9.869604
2,39.478418
3,88.826440
4,157.913670
5,246.740110
6,355.305758

type,panel,bin_index,bin_center,density
position,classical,0,0.006250,0.966000
position,quantum,0,0.006250,0.024000
position,classical,1,0.018750,0.910000
position,quantum,1,0.018750,0.154000
position,classical,2,0.031250,0.978000
position,quantum,2,0.031250,0.716000
position,classical,3,0.043750,0.970000
position,quantum,3,0.043750,0.810000
position,classical,4,0.056250,0.994000
position,quantum,4,0.056250,1.792000
position,classical,5,0.068750,0.984000
position,quantum,5,0.068750,1.502000
position,classical,6,0.081250,1.040000
position,quantum,6,0.081250,2.414000
position,classical,7,0.093750,0.982000
position,quantum,7,0.093750,1.512000
position,classical,8,0.106250,0.896000
position,quantum,8,0.106250,2.028000
position,classical,9,0.118750,0.970000
position,quantum,9,0.118750,0.992000
position,classical,10,0.131250,0.964000
position,quantum,10,0.131250,0.970000
position,classical,11,0.143750,0.960000
position,quantum,11,0.143750,0.322000
position,classical,12,0.156250,0.912000
position,quantum,12,0.156250,0.134000
position,classical,13,0.168750,0.910000
position,quantum,13,0.168750,0.014000
position,classical,14,0.181250,0.954000
position,quantum,14,0.181250,0.154000
position,classical,15,0.193750,0.934000
position,quantum,15,0.193750,0.356000
position,classical,16,0.206250,1.014000
position,quantum,16,0.206250,1.098000
position,classical,17,0.218750,0.996000
position,quantum,17,0.218750,1.028000
position,classical,18,0.231250,0.988000
position,quantum,18,0.231250,2.116000
position,classical,19,0.243750,1.114000
position,quantum,19,0.243750,1.616000
position,classical,20,0.256250,1.090000
position,quantum,20,0.256250,2.402000
position,classical,21,0.268750,0.990000
position,quantum,21,0.268750,1.392000
position,classical,22,0.281250,1.034000
position,quantum,22,0.281250,1.706000
position,classical,23,0.293750,1.046000
position,quantum,23,0.293750,0.778000
position,classical,24,0.306250,0.994000
position,quantum,24,0.306250,0.542000
position,classical,25,0.318750,1.140000
position,quantum,25,0.318750,0.136000
position,classical,26,0.331250,1.104000
position,quantum,26,0.331250,0.040000
position,classical,27,0.343750,1.086000
position,quantum,27,0.343750,0.098000
position,classical,28,0.356250,1.088000
position,quantum,28,0.356250,0.472000
position,classical,29,0.368750,1.042000
position,quantum,29,0.368750,0.684000
position,classical,30,0.381250,1.070000
position,quantum,30,0.381250,1.566000
position,classical,31,0.393750,1.110000
position,quantum,31,0.393750,1.328000
position,classical,32,0.406250,1.008000
position,quantum,32,0.406250,2.378000
position,classical,33,0.418750,0.954000
position,quantum,33,0.418750,1.606000
position,classical,34,0.431250,1.052000
position,quantum,34,0.431250,2.236000
position,classical,35,0.443750,1.062000
position,quantum,35,0.443750,1.210000
position,classical,36,0.456250,1.028000
position,quantum,36,0.456250,1.184000
position,classical,37,0.468750,1.010000
position,quantum,37,0.468750,0.472000
position,classical,38,0.481250,1.008000
position,quantum,38,0.481250,0.268000
position,classical,39,0.493750,0.980000
position,quantum,39,0.493750,0.026000
position,classical,40,0.506250,1.054000
position,quantum,40,0.506250,0.036000
position,classical,41,0.518750,0.962000
position,quantum,41,0.518750,0.266000
position,classical,42,0.531250,0.994000
position,quantum,42,0.531250,0.458000
position,classical,43,0.543750,1.018000
position,quantum,43,0.543750,1.186000
position,classical,44,0.556250,1.062000
position,quantum,44,0.556250,1.186000
position,classical,45,0.568750,0.968000
position,quantum,45,0.568750,2.134000
position,classical,46,0.581250,0.924000
position,quantum,46,0.581250,1.598000
position,classical,47,0.593750,0.966000
position,quantum,47,0.593750,2.192000
position,classical,48,0.606250,0.956000
position,quantum,48,0.606250,1.328000
position,classical,49,0.618750,0.928000
position,quantum,49,0.618750,1.526000
position,classical,50,0.631250,1.026000
position,quantum,50,0.631250,0.632000
position,classical,51,0.643750,1.008000
position,quantum,51,0.643750,0.472000
position,classical,52,0.656250,0.950000
position,quantum,52,0.656250,0.094000
position,classical,53,0.668750,0.976000
position,quantum,53,0.668750,0.046000
position,classical,54,0.681250,0.956000
position,quantum,54,0.681250,0.150000
position,classical,55,0.693750,1.042000
position,quantum,55,0.693750,0.636000
position,classical,56,0.706250,0.952000
position,quantum,56,0.706250,0.750000
position,classical,57,0.718750,1.006000
position,quantum,57,0.718750,1.570000
position,classical,58,0.731250,0.908000
position,quantum,58,0.731250,1.430000
position,classical,59,0.743750,1.050000
position,quantum,59,0.743750,2.278000
position,classical,60,0.756250,0.962000
position,quantum,60,0.756250,1.592000
position,classical,61,0.768750,1.008000
position,quantum,61,0.768750,2.124000
position,classical,62,0.781250,0.950000
position,quantum,62,0.781250,1.118000
position,classical,63,0.793750,0.926000
position,quantum,63,0.793750,1.118000
position,classical,64,0.806250,0.940000
position,quantum,64,0.806250,0.392000
position,classical,65,0.818750,0.978000
position,quantum,65,0.818750,0.206000
position,classical,66,0.831250,0.958000
position,quantum,66,0.831250,0.026000
position,classical,67,0.843750,0.960000
position,quantum,67,0.843750,0.132000
position,classical,68,0.856250,0.942000
position,quantum,68,0.856250,0.300000
position,classical,69,0.868750,1.006000
position,quantum,69,0.868750,0.952000
position,classical,70,0.881250,0.986000
position,quantum,70,0.881250,1.068000
position,classical,71,0.893750,0.992000
position,quantum,71,0.893750,1.912000
position,classical,72,0.906250,0.996000
position,quantum,72,0.906250,1.580000
position,classical,73,0.918750,1.024000
position,quantum,73,0.918750,2.362000
position,classical,74,0.931250,0.954000
position,quantum,74,0.931250,1.346000
position,classical,75,0.943750,1.034000
position,quantum,75,0.943750,1.790000
position,classical,76,0.956250,1.056000
position,quantum,76,0.956250,0.830000
position,classical,77,0.968750,1.066000
position,quantum,77,0.968750,0.674000
position,classical,78,0.981250,1.150000
position,quantum,78,0.981250,0.196000
position,classical,79,0.993750,1.074000
position,quantum,79,0.993750,0.038000
energy,classical,0,2.000000,0.000000
energy,quantum,0,2.000000,0.000025
energy,classical,1,6.000000,0.000000
energy,quantum,1,6.000000,0.000056
energy,classical,2,10.000000,0.000000
energy,quantum,2,10.000000,0.000050
energy,classical,3,14.000000,0.000000
energy,quantum,3,14.000000,0.000056
energy,classical,4,18.000000,0.000000
energy,quantum,4,18.000000,0.000025
energy,classical,5,22.000000,0.000000
energy,quantum,5,22.000000,0.000006
energy,classical,6,26.000000,0.000000
energy,quantum,6,26.000000,0.000006
energy,classical,7,30.000000,0.000000
energy,quantum,7,30.000000,0.000000
energy,classical,8,34.000000,0.000000
energy,quantum,8,34.000000,0.000044
energy,classical,9,38.000000,0.000000
energy,quantum,9,38.000000,0.000069
energy,classical,10,42.000000,0.000000
energy,quantum,10,42.000000,0.000100
energy,classical,11,46.000000,0.000000
energy,quantum,11,46.000000,0.000031
energy,classical,12,50.000000,0.000000
energy,quantum,12,50.000000,0.000013
energy,classical,13,54.000000,0.000000
energy,quantum,13,54.000000,0.000006
energy,classical,14,58.000000,0.000000
energy,quantum,14,58.000000,0.000000
energy,classical,15,62.000000,0.000000
energy,quantum,15,62.000000,0.000000
energy,classical,16,66.000000,0.000000
energy,quantum,16,66.000000,0.000000
energy,classical,17,70.000000,0.000000
energy,quantum,17,70.000000,0.000000
energy,classical,18,74.000000,0.000000
energy,quantum,18,74.000000,0.000006
energy,classical,19,78.000000,0.000000
energy,quantum,19,78.000000,0.000013
energy,classical,20,82.000000,0.000000
energy,quantum,20,82.000000,0.000056
energy,classical,21,86.000000,0.000000
energy,quantum,21,86.000000,0.000112
energy,classical,22,90.000000,0.000000
energy,quantum,22,90.000000,0.000094
energy,classical,23,94.000000,0.000000
energy,quantum,23,94.000000,0.000050
energy,classical,24,98.000000,0.000000
energy,quantum,24,98.000000,0.000037
energy,classical,25,102.000000,0.000000
energy,quantum,25,102.000000,0.000006
energy,classical,26,106.000000,0.000000
energy,quantum,26,106.000000,0.000000
energy,classical,27,110.000000,0.000000
energy,quantum,27,110.000000,0.000000
energy,classical,28,114.000000,0.000000
energy,quantum,28,114.000000,0.000000
energy,classical,29,118.000000,0.000000
energy,quantum,29,118.000000,0.000000
energy,classical,30,122.000000,0.000000
energy,quantum,30,122.000000,0.000000
energy,classical,31,126.000000,0.000000
energy,quantum,31,126.000000,0.000000
energy,classical,32,130.000000,0.000000
energy,quantum,32,130.000000,0.000000
energy,classical,33,134.000000,0.000000
energy,quantum,33,134.000000,0.000000
energy,classical,34,138.000000,0.000000
energy,quantum,34,138.000000,0.000000
energy,classical,35,142.000000,0.000000
energy,quantum,35,142.000000,0.000000
energy,classical,36,146.000000,0.000000
energy,quantum,36,146.000000,0.000013
energy,classical,37,150.000000,0.000000
energy,quantum,37,150.000000,0.000050
energy,classical,38,154.000000,0.000000
energy,quantum,38,154.000000,0.000156
energy,classical,39,158.000000,0.000000
energy,quantum,39,158.000000,0.000231
energy,classical,40,162.000000,0.000000
energy,quantum,40,162.000000,0.000162
energy,classical,41,166.000000,0.000000
energy,quantum,41,166.000000,0.000037
energy,classical,42,170.000000,0.000000
energy,quantum,42,170.000000,0.000013
energy,classical,43,174.000000,0.000000
energy,quantum,43,174.000000,0.000006
energy,classical,44,178.000000,0.000000
energy,quantum,44,178.000000,0.000000
energy,classical,45,182.000000,0.000000
energy,quantum,45,182.000000,0.000000
energy,classical,46,186.000000,0.000000
energy,quantum,46,186.000000,0.000000
energy,classical,47,190.000000,0.000000
energy,quantum,47,190.000000,0.000000
energy,classical,48,194.000000,0.000000
energy,quantum,48,194.000000,0.000000
energy,classical,49,198.000000,0.000000
energy,quantum,49,198.000000,0.000000
energy,classical,50,202.000000,0.000000
energy,quantum,50,202.000000,0.000000
energy,classical,51,206.000000,0.000000
energy,quantum,51,206.000000,0.000000
energy,classical,52,210.000000,0.000000
energy,quantum,52,210.000000,0.000000
energy,classical,53,214.000000,0.000000
energy,quantum,53,214.000000,0.000000
energy,classical,54,218.000000,0.000000
energy,quantum,54,218.000000,0.000000
energy,classical,55,222.000000,0.000000
energy,quantum,55,222.000000,0.000000
energy,classical,56,226.000000,0.000000
energy,quantum,56,226.000000,0.000000
energy,classical,57,230.000000,0.000000
energy,quantum,57,230.000000,0.000006
energy,classical,58,234.000000,0.000000
energy,quantum,58,234.000000,0.000025
energy,classical,59,238.000000,0.000000
energy,quantum,59,238.000000,0.000150
energy,classical,60,242.000000,0.000000
energy,quantum,60,242.000000,0.000469
energy,classical,61,246.000000,0.000000
energy,quantum,61,246.000000,0.000575
energy,classical,62,250.000000,0.000000
energy,quantum,62,250.000000,0.000600
energy,classical,63,254.000000,0.000000
energy,quantum,63,254.000000,0.000206
energy,classical,64,258.000000,0.000000
energy,quantum,64,258.000000,0.000069
energy,classical,65,262.000000,0.000000
energy,quantum,65,262.000000,0.000006
energy,classical,66,266.000000,0.000000
energy,quantum,66,266.000000,0.000000
energy,classical,67,270.000000,0.000000
